asset_id,name,category,subcategory,source_zip,source_filename,source_path_inside_zip,target_r2_key,target_public_url,needs_conversion,conversion_reason,notes
meghna_female_dress_blackboatneckmini,Blackboatneckmini,dress,mini,womens assets.zip,blackboatneckmini.jpg,womens assets/dresses/blackboatneckmini.jpg,female-assets/dress/blackboatneckmini.jpg,https://pub-43484c7ec0d741cabcac4df01e98344b.r2.dev/female-assets/dress/blackboatneckmini.jpg,false,,
meghna_female_dress_blue_and_brown_stripes_crochet_dress,Blue And Brown Stripes Crochet Dress,dress,dress,womens assets.zip,blue and brown stripes crochet dress.jpg,womens assets/dresses/blue and brown stripes crochet dress.jpg,female-assets/dress/blue_and_brown_stripes_crochet_dress.jpg,https://pub-43484c7ec0d741cabcac4df01e98344b.r2.dev/female-assets/dress/blue_and_brown_stripes_crochet_dress.jpg,false,,
meghna_female_dress_blue_instripe_shirt_dress,Blue Instripe Shirt Dress,dress,dress,womens assets.zip,blue instripe shirt dress.jpg,womens assets/dresses/blue instripe shirt dress.jpg,female-assets/dress/blue_instripe_shirt_dress.jpg,https://pub-43484c7ec0d741cabcac4df01e98344b.r2.dev/female-assets/dress/blue_instripe_shirt_dress.jpg,false,,
meghna_female_dress_blue_short_dress,Blue Short Dress,dress,dress,womens assets.zip,blue short dress.jpg,womens assets/dresses/blue short dress.jpg,female-assets/dress/blue_short_dress.jpg,https://pub-43484c7ec0d741cabcac4df01e98344b.r2.dev/female-assets/dress/blue_short_dress.jpg,false,,
meghna_female_dress_blueboatneckhalfsleevedress,Blueboatneckhalfsleevedress,dress,dress,womens assets.zip,blueboatneckhalfsleevedress.jpg,womens assets/dresses/blueboatneckhalfsleevedress.jpg,female-assets/dress/blueboatneckhalfsleevedress.jpg,https://pub-43484c7ec0d741cabcac4df01e98344b.r2.dev/female-assets/dress/blueboatneckhalfsleevedress.jpg,false,,
meghna_female_dress_brown_short_dress,Brown Short Dress,dress,dress,womens assets.zip,brown short dress.jpg,womens assets/dresses/brown short dress.jpg,female-assets/dress/brown_short_dress.jpg,https://pub-43484c7ec0d741cabcac4df01e98344b.r2.dev/female-assets/dress/brown_short_dress.jpg,false,,
meghna_female_dress_colared_short_dress,Colared Short Dress,dress,dress,womens assets.zip,colared short dress.jpg,womens assets/dresses/colared short dress.jpg,female-assets/dress/colared_short_dress.jpg,https://pub-43484c7ec0d741cabcac4df01e98344b.r2.dev/female-assets/dress/colared_short_dress.jpg,false,,
meghna_female_dress_cream_column_dress,Cream Column Dress,dress,dress,womens assets.zip,Cream Column Dress.jfif,womens assets/dresses/Cream Column Dress.jfif,female-assets/dress/cream_column_dress.jpg,https://pub-43484c7ec0d741cabcac4df01e98344b.r2.dev/female-assets/dress/cream_column_dress.jpg,true,.jfif source -> .jpg target (R2 key is .jpg),
meghna_female_dress_cream_knit_midi_dress_with_collar,Cream Knit Midi Dress With Collar,dress,midi_dress,womens assets.zip,cream knit midi dress with collar.jpg,womens assets/dresses/cream knit midi dress with collar.jpg,female-assets/dress/cream_knit_midi_dress_with_collar.jpg,https://pub-43484c7ec0d741cabcac4df01e98344b.r2.dev/female-assets/dress/cream_knit_midi_dress_with_collar.jpg,false,,
meghna_female_dress_cream_midi_dress,Cream Midi Dress,dress,midi_dress,womens assets.zip,cream midi dress.jpg,womens assets/dresses/cream midi dress.jpg,female-assets/dress/cream_midi_dress.jpg,https://pub-43484c7ec0d741cabcac4df01e98344b.r2.dev/female-assets/dress/cream_midi_dress.jpg,false,,
meghna_female_dress_crochet_colorful_dress,Crochet Colorful Dress,dress,dress,womens assets.zip,crochet colorful dress.jpg,womens assets/dresses/crochet colorful dress.jpg,female-assets/dress/crochet_colorful_dress.jpg,https://pub-43484c7ec0d741cabcac4df01e98344b.r2.dev/female-assets/dress/crochet_colorful_dress.jpg,false,,
meghna_female_dress_dark_blue_midi_dress,Dark Blue Midi Dress,dress,midi_dress,womens assets.zip,dark blue midi dress.jpg,womens assets/dresses/dark blue midi dress.jpg,female-assets/dress/dark_blue_midi_dress.jpg,https://pub-43484c7ec0d741cabcac4df01e98344b.r2.dev/female-assets/dress/dark_blue_midi_dress.jpg,false,,
meghna_female_dress_denim_dress,Denim Dress,dress,dress,womens assets.zip,denim dress.jpg,womens assets/dresses/denim dress.jpg,female-assets/dress/denim_dress.jpg,https://pub-43484c7ec0d741cabcac4df01e98344b.r2.dev/female-assets/dress/denim_dress.jpg,false,,
meghna_female_dress_denimsweetheartneckdress,Denimsweetheartneckdress,dress,dress,womens assets.zip,denimsweetheartneckdress.jpg,womens assets/dresses/denimsweetheartneckdress.jpg,female-assets/dress/denimsweetheartneckdress.jpg,https://pub-43484c7ec0d741cabcac4df01e98344b.r2.dev/female-assets/dress/denimsweetheartneckdress.jpg,false,,
